Front,Back,Tags,Stability,Difficulty,IntervalDays,SuggestedNextDate,Status
使用洛必达法则前必须验证什么条件？,必须验证极限形式为0/0型或∞/∞型，否则不能直接应用洛必达法则。,数学一 高等数学-极限与连续 due bootstrapped,7.0,5.0,7,2026-09-21,due
微分中值定理证明题中辅助函数的构造应遵循什么规律？,应根据待证结论的结构特征，结合原函数与导数关系，采用固定套路如构造F(x) = f(x) - kx或利用积分形式构造，避免随意假设。,数学一 高等数学-一元微分 pending bootstrapped,4.0,5.0,4,2026-09-18,pending
第二类换元积分后为何必须进行变量回代？,换元后积分表达式仍含新变量，必须将结果用原变量表示，否则答案不完整且错误。,数学一 高等数学-不定积分 mastered bootstrapped,21.0,5.0,21,2026-10-05,mastered
旋转体体积绕y轴旋转时，应使用何种公式？,"应使用绕y轴的旋转体体积公式，即V = π∫[a,b] x² dy，不可误用绕x轴的V = π∫[a,b] y² dx。",数学一 高等数学-定积分应用 pending bootstrapped,4.0,5.0,4,2026-09-18,pending
二重积分计算中如何利用积分区域对称性简化？,若被积函数或积分区域具有对称性（如关于x轴、y轴或原点对称），可利用对称性将积分区域缩小一半并乘以2，避免复杂计算。,数学一 高等数学-二重积分 due bootstrapped,7.0,5.0,7,2026-09-21,due
格林公式使用时，边界曲线的方向应如何确定？,边界曲线必须取正向（逆时针方向），若方向相反需加负号，否则会导致符号错误。,数学一 高等数学-曲线积分 pending bootstrapped,4.0,5.0,4,2026-09-18,pending
二阶常系数非齐次线性微分方程特解形式在特征根为重根时应如何设定？,当特征方程有重根时，特解形式应在标准形式基础上乘以x^k（k为重根重数），如r=α是二重根，则设特解为x(Ax+B)e^{αx}。,数学一 高等数学-微分方程 retesting bootstrapped,2.0,5.0,2,2026-09-16,retesting
正项级数判别法中，比较判别法与比值判别法适用场景有何区别？,比较判别法适用于能与已知收敛或发散级数比较的情形；比值判别法适用于通项含幂指函数或阶乘的情形，两者不可混用。,数学一 高等数学-级数 mastered bootstrapped,21.0,5.0,21,2026-10-05,mastered
交错级数使用莱布尼茨判别法时，必须验证哪两个条件？,必须验证通项绝对值单调递减且趋于零，缺一不可，否则无法判定收敛。,数学一 高等数学-级数 due bootstrapped,7.0,5.0,7,2026-09-21,due
复合函数链式求导时，为何容易漏掉某些中间变量路径？,复合函数中存在多个中间变量时，必须逐层追踪所有路径，遗漏任一路径都会导致导数缺失。,数学一 高等数学-多元微分 pending bootstrapped,4.0,5.0,4,2026-09-18,pending
隐函数求导中，偏导数记号与隐函数求导公式有何区别？,偏导数记号∂表示多元函数对某一变量的局部变化率，而隐函数求导需用全微分或隐函数定理推导，不可混淆符号。,数学一 高等数学-多元微分 pending bootstrapped,4.0,5.0,4,2026-09-18,pending
含参矩阵秩的讨论中，为何需要特别关注临界情形？,参数取特定值可能导致矩阵秩突变，若忽略这些临界点（如使行列式为零的值），会遗漏不同情况下的秩变化。,数学一 线性代数-矩阵与秩 due bootstrapped,7.0,5.0,7,2026-09-21,due
线性方程组通解表示中，齐次通解部分缺少什么会导致错误？,必须包含对应齐次方程的基础解系（即所有线性无关解向量），否则通解不完整，无法表示全部解集。,数学一 线性代数-线性方程组 mastered bootstrapped,21.0,5.0,21,2026-10-05,mastered
判断矩阵可对角化时，为何要重点检查重根特征值对应的线性无关特征向量个数？,矩阵可对角化的充要条件是每个特征值的几何重数等于代数重数，重根特征值若无足够线性无关特征向量则不可对角化。,数学一 线性代数-特征值 retesting bootstrapped,2.0,5.0,2,2026-09-16,retesting
相似变换矩阵P的列向量与特征值顺序之间应满足什么对应关系？,P的第j列必须是对应第j个特征值的特征向量，特征值与特征向量顺序必须严格一致，否则P^{-1}AP ≠ Λ。,数学一 线性代数-相似对角化 pending bootstrapped,4.0,5.0,4,2026-09-18,pending
判断二次型正定时，为何必须验证所有顺序主子式大于零？,正定的充要条件是所有顺序主子式均大于零，仅验证部分主子式或使用其他判别法可能得出错误结论。,数学一 线性代数-二次型 due bootstrapped,7.0,5.0,7,2026-09-21,due
计算条件概率时，为何样本空间缩小必须彻底？,条件概率的分母是给定条件下事件发生的总概率，必须准确缩小样本空间，否则会导致分母错误。,数学一 概率论-随机事件 retesting bootstrapped,2.0,5.0,2,2026-09-16,retesting
全概率与贝叶斯公式中，先验概率与后验概率的区别是什么？,先验概率是事件发生前的概率估计，后验概率是在观测到新信息后的更新概率，二者方向不可颠倒。,数学一 概率论-全概率与贝叶斯 mastered bootstrapped,21.0,5.0,21,2026-10-05,mastered
分布函数右连续性质在求参数时为何不能反向使用？,分布函数F(x)定义为P(X ≤ x)，其右连续性意味着F(x+) = F(x)，若用于求参数时误用左连续则会出错。,数学一 概率论-随机变量 pending bootstrapped,4.0,5.0,4,2026-09-18,pending
期望的线性性质在不独立变量上使用时，为何不能假设独立性？,期望的线性性质恒成立，但方差的可加性依赖于独立性，误加独立性假设会导致协方差计算错误。,数学一 概率论-数字特征 mastered bootstrapped,21.0,5.0,21,2026-10-05,mastered
最大似然估计求导时，应以什么为自变量？,应以参数为自变量对似然函数求导，若对样本求导则完全错误，因样本是固定的观测值。,数学一 概率论-数理统计 due bootstrapped,7.0,5.0,7,2026-09-21,due
无穷小阶的比较中，为何不能忽略高阶项的影响？,高阶项在极限过程中趋于零更快，若忽略会导致比较结果错误，尤其在等价替换时需保留同阶主部。,数学一 高等数学-极限与连续 pending bootstrapped,4.0,5.0,4,2026-09-18,pending
极大无关组选取后，其坐标表示为何容易出错？,极大无关组的坐标表示应基于原向量组的线性组合表示，若未正确写出系数或混淆基底顺序会导致错误。,数学一 线性代数-向量组 mastered bootstrapped,21.0,5.0,21,2026-10-05,mastered
极坐标变换中，面积元为何必须乘以r？,极坐标下面积元素dA = r dr dθ，因为极径r越大，相同角度区间所覆盖的面积越大，漏乘r将导致面积计算偏差。,数学一 高等数学-重积分 due bootstrapped,7.0,5.0,7,2026-09-21,due
周转时间与带权周转时间的公式有何本质区别？,周转时间 = 完成时间 - 到达时间，带权周转时间 = 周转时间 / 服务时间，二者含义不同，不可混淆。,408-操作系统 进程管理-调度算法 due bootstrapped,7.0,5.0,7,2026-09-21,due
生产者-消费者问题中，信号量初值设置错误会导致什么后果？,若信号量初值设置错误（如空缓冲区初始值设为0），可能导致生产者阻塞等待却无消费者消费，系统死锁。,408-操作系统 进程管理-同步互斥 pending bootstrapped,4.0,5.0,4,2026-09-18,pending
P/V操作顺序颠倒可能导致何种严重后果？,P/V操作顺序错误（如先执行V再执行P）可能导致进程访问未就绪资源或破坏互斥机制，引发死锁或数据竞争。,408-操作系统 进程管理-同步互斥 pending bootstrapped,4.0,5.0,4,2026-09-18,pending
